"importer","exporter","species","quantity","hs_year","year","common_name","Genus","Subfamily","Family","Order","Class","Superclass","Phylum","Kingdom","isscaap_group","prod_method","habitat"
"ARE","AUS","fenneropenaeus merguiensis",1.38707139554756,96,2000,"banana prawn","fenneropenaeus",NA,"penaeidae","decapoda","malacostraca",NA,"arthropoda","animalia","Shrimps, prawns","Capture","Marine"
"ARE","AUS","metapenaeus endeavouri",1.87463825500337,96,2000,"endeavour shrimp","metapenaeus",NA,"penaeidae","decapoda","malacostraca",NA,"arthropoda","animalia","Shrimps, prawns","Capture","Marine"
"ARE","AUS","penaeus",9.59520098583315,96,2000,"penaeus shrimps nei","penaeus",NA,"penaeidae","decapoda","malacostraca",NA,"arthropoda","animalia","Shrimps, prawns","Capture","Marine"
"ARE","AUS","penaeus monodon",2.20866231167079,96,2000,"giant tiger prawn","penaeus",NA,"penaeidae","decapoda","malacostraca",NA,"arthropoda","animalia","Shrimps, prawns","Aquaculture","Marine"
"ARE","AUS","penaeus monodon",4.05670870099693,96,2000,"giant tiger prawn","penaeus",NA,"penaeidae","decapoda","malacostraca",NA,"arthropoda","animalia","Shrimps, prawns","Capture","Marine"
"AUS","ARG","pleoticus muelleri",5.68848984994467,96,2000,"argentine red shrimp","pleoticus",NA,"solenoceridae","decapoda","malacostraca",NA,"arthropoda","animalia","Shrimps, prawns","Capture","Marine"
"AUS","BGD","penaeus",1.98562831203304,96,2000,"penaeus shrimps nei","penaeus",NA,"penaeidae","decapoda","malacostraca",NA,"arthropoda","animalia","Shrimps, prawns","Aquaculture","Marine"
"AUS","CHN","acetes japonicus",248.806104997853,96,2000,"akiami paste shrimp","acetes",NA,"sergestidae","decapoda","malacostraca",NA,"arthropoda","animalia","Shrimps, prawns","Capture","Marine"
"AUS","CHN","penaeus",272.405030798833,96,2000,"penaeus shrimps nei","penaeus",NA,"penaeidae","decapoda","malacostraca",NA,"arthropoda","animalia","Shrimps, prawns","Aquaculture","Marine"
"AUS","CHN","penaeus",2.65268418098365,96,2000,"penaeus shrimps nei","penaeus",NA,"penaeidae","decapoda","malacostraca",NA,"arthropoda","animalia","Shrimps, prawns","Capture","Marine"
